filename,split
206789.csv,train
177588.csv,train
209830.csv,train
262128.csv,train
264096.csv,train
261790.csv,train
244925.csv,train
211580.csv,train
140189.csv,train
227486.csv,train
228339.csv,train
205797.csv,train
140760.csv,train
265719.csv,train
264681.csv,train
188701.csv,train
177717.csv,train
229388.csv,train
177674.csv,train
154906.csv,train
169456.csv,train
241958.csv,train
225026.csv,train
200694.csv,train
132649.csv,train
204829.csv,train
230564.csv,train
208448.csv,train
250809.csv,train
251201.csv,train
244648.csv,train
262160.csv,train
188506.csv,train
190803.csv,train
174502.csv,train
244684.csv,train
240308.csv,train
174266.csv,train
178024.csv,train
211472.csv,train
243468.csv,train
209165.csv,train
235131.csv,train
232965.csv,train
204751.csv,train
264749.csv,train
128249.csv,train
151205.csv,train
250327.csv,train
205393.csv,train
143866.csv,train
222606.csv,train
147030.csv,train
257104.csv,train
223355.csv,train
265758.csv,train
164515.csv,train
195038.csv,train
223069.csv,train
234934.csv,train
260937.csv,train
261049.csv,train
157901.csv,train
263359.csv,train
249707.csv,train
175212.csv,train
210802.csv,train
263720.csv,train
249661.csv,train
204124.csv,train
176095.csv,train
249152.csv,train
255028.csv,train
184343.csv,train
158286.csv,train
221588.csv,train
133024.csv,train
201657.csv,train
191081.csv,train
170183.csv,train
208765.csv,train
254378.csv,train
182953.csv,train
119068.csv,train
164771.csv,train
192837.csv,train
139802.csv,train
254676.csv,train
250181.csv,train
187685.csv,train
244203.csv,train
153972.csv,train
247085.csv,train
104725.csv,train
204756.csv,train
228964.csv,train
246914.csv,train
239137.csv,train
202239.csv,train
185508.csv,train
206094.csv,train
246030.csv,train
185972.csv,train
209904.csv,train
151294.csv,train
132067.csv,train
185865.csv,train
254560.csv,train
260798.csv,train
199068.csv,train
243250.csv,train
113846.csv,train
199891.csv,train
219899.csv,train
236071.csv,train
182712.csv,train
150023.csv,train
263588.csv,train
188297.csv,train
233002.csv,train
256946.csv,train
196266.csv,train
249015.csv,train
221575.csv,train
239824.csv,train
244478.csv,train
221759.csv,train
194382.csv,train
156477.csv,train
162725.csv,train
238488.csv,train
188540.csv,train
228720.csv,train
219857.csv,train
255731.csv,train
230443.csv,train
224483.csv,train
219711.csv,train
217430.csv,train
208701.csv,train
227952.csv,train
248634.csv,train
163735.csv,train
222070.csv,train
259945.csv,train
217187.csv,train
251900.csv,train
227743.csv,train
148557.csv,train
185354.csv,train
131093.csv,train
258591.csv,train
221004.csv,train
241848.csv,train
248018.csv,train
215150.csv,train
248966.csv,train
255433.csv,train
255803.csv,train
229198.csv,train
224094.csv,train
207030.csv,train
138284.csv,train
254859.csv,train
242359.csv,train
131039.csv,train
240986.csv,train
240895.csv,train
178921.csv,train
183225.csv,train
247070.csv,train
196515.csv,train
184240.csv,train
228536.csv,train
223352.csv,train
253956.csv,train
256861.csv,train
134371.csv,train
188554.csv,train
205665.csv,train
207294.csv,train
262130.csv,train
113106.csv,train
142791.csv,train
232905.csv,train
229166.csv,train
229673.csv,train
231510.csv,train
159733.csv,train
198005.csv,train
260209.csv,train
251113.csv,train
248806.csv,train
245905.csv,train
162826.csv,train
264722.csv,train
221378.csv,train
250306.csv,train
234622.csv,train
204551.csv,train
137015.csv,train
135027.csv,train
234577.csv,train
224943.csv,train
174557.csv,train
242119.csv,train
199551.csv,train
184859.csv,train
130823.csv,train
218976.csv,train
204302.csv,train
154628.csv,train
232756.csv,train
219439.csv,train
241210.csv,train
214055.csv,train
215164.csv,train
263662.csv,train
129012.csv,train
218592.csv,train
154999.csv,train
240139.csv,train
225310.csv,train
241782.csv,train
190335.csv,train
241974.csv,train
190825.csv,train
203089.csv,train
203122.csv,train
254539.csv,train
251198.csv,train
228522.csv,train
200059.csv,train
206739.csv,train
133875.csv,train
167050.csv,train
108963.csv,train
182074.csv,train
195222.csv,train
185462.csv,train
243040.csv,train
121002.csv,train
237081.csv,train
252329.csv,train
149964.csv,train
228586.csv,train
245816.csv,train
212925.csv,train
258243.csv,train
193772.csv,train
253335.csv,train
249416.csv,train
217048.csv,train
214184.csv,train
129844.csv,train
242077.csv,train
231050.csv,train
252371.csv,train
234364.csv,train
249495.csv,train
257709.csv,train
215867.csv,train
175942.csv,train
236498.csv,train
186103.csv,train
197847.csv,train
184706.csv,train
174128.csv,train
179956.csv,train
131066.csv,train
208508.csv,train
134709.csv,train
172315.csv,train
228650.csv,train
203470.csv,train
132914.csv,train
157258.csv,train
229561.csv,train
207016.csv,train
201223.csv,train
228965.csv,train
229756.csv,train
104462.csv,train
217676.csv,train
229373.csv,train
213365.csv,train
107047.csv,train
251344.csv,train
264458.csv,train
230470.csv,train
246440.csv,train
150917.csv,train
132031.csv,train
245275.csv,train
186725.csv,train
202128.csv,train
240481.csv,train
232518.csv,train
173579.csv,train
244595.csv,train
204564.csv,train
149611.csv,train
231773.csv,train
245114.csv,train
193985.csv,train
235499.csv,train
229018.csv,train
259620.csv,train
214395.csv,train
197709.csv,train
202355.csv,train
185800.csv,train
168229.csv,train
158793.csv,train
245725.csv,train
206170.csv,train
227037.csv,train
252601.csv,train
257218.csv,train
186221.csv,train
157793.csv,train
266027.csv,train
191635.csv,train
247461.csv,train
223771.csv,train
188498.csv,train
207518.csv,train
189721.csv,train
251374.csv,train
231020.csv,train
235223.csv,train
178875.csv,train
236340.csv,train
228397.csv,train
250185.csv,train
250870.csv,train
212434.csv,train
159539.csv,train
233228.csv,train
222811.csv,train
200652.csv,train
247186.csv,train
197340.csv,train
237174.csv,train
247357.csv,train
230876.csv,train
163145.csv,train
246882.csv,train
261470.csv,train
220144.csv,train
187665.csv,train
198841.csv,train
136523.csv,train
228218.csv,train
221131.csv,train
248726.csv,train
171501.csv,train
114823.csv,train
157768.csv,train
249567.csv,train
203515.csv,train
248245.csv,train
228782.csv,train
217703.csv,train
210624.csv,train
116073.csv,train
128387.csv,train
203361.csv,train
170372.csv,train
204169.csv,train
227011.csv,train
257204.csv,train
246305.csv,train
224542.csv,train
248439.csv,train
216124.csv,train
151660.csv,train
210052.csv,train
207470.csv,train
229875.csv,train
197167.csv,train
150745.csv,train
210080.csv,train
223278.csv,train
212308.csv,train
209887.csv,train
253997.csv,train
236510.csv,train
198469.csv,train
211645.csv,train
224641.csv,train
262703.csv,train
129772.csv,train
188052.csv,train
160428.csv,train
194145.csv,train
248835.csv,train
245878.csv,train
219771.csv,train
138691.csv,train
252333.csv,train
209851.csv,train
211827.csv,train
264863.csv,train
265624.csv,train
236635.csv,train
200656.csv,train
231629.csv,train
172579.csv,train
204763.csv,train
238572.csv,train
260133.csv,train
230535.csv,train
260279.csv,train
205549.csv,train
254802.csv,train
210779.csv,train
202398.csv,train
105617.csv,train
228585.csv,train
261211.csv,train
216560.csv,train
247564.csv,train
160386.csv,train
216668.csv,train
126217.csv,train
229919.csv,train
247514.csv,train
247078.csv,train
221380.csv,train
246617.csv,train
253819.csv,train
132242.csv,train
192829.csv,train
246034.csv,train
253080.csv,train
251825.csv,train
185735.csv,train
249643.csv,train
228225.csv,train
173009.csv,train
138065.csv,train
99172.csv,train
216617.csv,train
230378.csv,train
259278.csv,train
235519.csv,train
187583.csv,train
218193.csv,train
226528.csv,train
240852.csv,train
223761.csv,train
200573.csv,train
192282.csv,train
221124.csv,train
222730.csv,train
212320.csv,train
197947.csv,train
260756.csv,train
204275.csv,train
228435.csv,train
216379.csv,train
252843.csv,train
208901.csv,train
221996.csv,train
256503.csv,train
104583.csv,train
206706.csv,train
227294.csv,train
117091.csv,train
202241.csv,train
176227.csv,train
236935.csv,train
145298.csv,train
239888.csv,train
112929.csv,train
248292.csv,train
243525.csv,train
143931.csv,train
258988.csv,train
237621.csv,train
232845.csv,train
235554.csv,train
263867.csv,train
237507.csv,train
223505.csv,train
199433.csv,train
177269.csv,train
252419.csv,train
237074.csv,train
203352.csv,train
225678.csv,train
233939.csv,train
212531.csv,train
240735.csv,train
124097.csv,train
203083.csv,train
211165.csv,train
245646.csv,train
200255.csv,train
205333.csv,train
227044.csv,train
140019.csv,train
214672.csv,train
246849.csv,train
176225.csv,train
185716.csv,train
221029.csv,train
207234.csv,train
243852.csv,train
154746.csv,train
256457.csv,train
237813.csv,train
244618.csv,train
150283.csv,train
149261.csv,train
261093.csv,train
98273.csv,train
235422.csv,train
258789.csv,train
196661.csv,train
242512.csv,train
120759.csv,train
177836.csv,train
166542.csv,train
231815.csv,train
115026.csv,train
259562.csv,train
189291.csv,train
228872.csv,train
249631.csv,train
223618.csv,train
227752.csv,train
177064.csv,train
150833.csv,train
194676.csv,train
177209.csv,train
211158.csv,train
221190.csv,train
120341.csv,train
260837.csv,train
201709.csv,train
242744.csv,train
245252.csv,train
228843.csv,train
225835.csv,train
259435.csv,train
249309.csv,train
242788.csv,train
257586.csv,train
237516.csv,train
262538.csv,train
263980.csv,train
228537.csv,train
241659.csv,train
228762.csv,train
152489.csv,train
192352.csv,train
256323.csv,train
183117.csv,train
206295.csv,train
251260.csv,train
184708.csv,train
252409.csv,train
163073.csv,train
242091.csv,train
225158.csv,train
197740.csv,train
229699.csv,train
208962.csv,train
133370.csv,train
228429.csv,train
224418.csv,train
217009.csv,train
252922.csv,train
231657.csv,train
265787.csv,train
264514.csv,train
155762.csv,train
238696.csv,train
259408.csv,train
232359.csv,train
115083.csv,train
223072.csv,train
242032.csv,train
175603.csv,train
139457.csv,train
258460.csv,train
240584.csv,train
185746.csv,train
214259.csv,train
134315.csv,train
152264.csv,train
241866.csv,train
183063.csv,train
246897.csv,train
220641.csv,train
193767.csv,train
262890.csv,train
160881.csv,train
240721.csv,train
261189.csv,train
150945.csv,train
142666.csv,train
240067.csv,train
218717.csv,train
260288.csv,train
185414.csv,train
256769.csv,train
246333.csv,train
251651.csv,train
222221.csv,train
161597.csv,train
159455.csv,train
170636.csv,train
241515.csv,train
170950.csv,train
232175.csv,train
245997.csv,train
136785.csv,train
238551.csv,train
222556.csv,train
253379.csv,train
158341.csv,train
264555.csv,train
240280.csv,train
154846.csv,train
113322.csv,train
130414.csv,train
172405.csv,train
228505.csv,train
236939.csv,train
213101.csv,train
262074.csv,train
147641.csv,train
263331.csv,train
158457.csv,train
195720.csv,train
243497.csv,train
211250.csv,train
253536.csv,train
176169.csv,train
157624.csv,train
203172.csv,train
228047.csv,train
197379.csv,train
131098.csv,train
115324.csv,train
255370.csv,train
194135.csv,train
248858.csv,train
259388.csv,train
206370.csv,train
203854.csv,train
114921.csv,train
133394.csv,train
258894.csv,train
258047.csv,train
128672.csv,train
137466.csv,train
112690.csv,train
107241.csv,train
233376.csv,train
113843.csv,train
256634.csv,train
252008.csv,train
184568.csv,train
235240.csv,train
173174.csv,train
249529.csv,train
163813.csv,train
115644.csv,train
227574.csv,train
184669.csv,train
243258.csv,train
199036.csv,train
223293.csv,train
263926.csv,train
229077.csv,train
197019.csv,train
201404.csv,train
254467.csv,train
258294.csv,train
186986.csv,train
199511.csv,train
248996.csv,train
161077.csv,train
243715.csv,train
184052.csv,train
240858.csv,train
255960.csv,train
152520.csv,train
248742.csv,train
247193.csv,train
226556.csv,train
219426.csv,train
235317.csv,train
241414.csv,train
219213.csv,train
258659.csv,train
252497.csv,train
192463.csv,train
247033.csv,train
183411.csv,train
186129.csv,train
194739.csv,train
153389.csv,train
242581.csv,train
228597.csv,train
219561.csv,train
260668.csv,train
229192.csv,train
172717.csv,train
145102.csv,train
203509.csv,train
136686.csv,train
201831.csv,train
112579.csv,train
228250.csv,train
189274.csv,train
262876.csv,train
253236.csv,train
157817.csv,train
110727.csv,train
223074.csv,train
205166.csv,train
118399.csv,train
221746.csv,train
239518.csv,train
237431.csv,train
219014.csv,train
117598.csv,train
168694.csv,train
237468.csv,train
212376.csv,train
127851.csv,train
211890.csv,train
200245.csv,train
157454.csv,train
192019.csv,train
260416.csv,train
246457.csv,train
250800.csv,train
148875.csv,train
155233.csv,train
134633.csv,train
243574.csv,train
135405.csv,train
194905.csv,train
229520.csv,train
243262.csv,train
185653.csv,train
260943.csv,train
239831.csv,train
245020.csv,train
237235.csv,train
240429.csv,train
115731.csv,train
186907.csv,train
227030.csv,train
180899.csv,train
220513.csv,train
237062.csv,train
218504.csv,train
249243.csv,train
150815.csv,train
259231.csv,train
190162.csv,train
148925.csv,train
228966.csv,train
178894.csv,train
221270.csv,train
171066.csv,train
240861.csv,train
163062.csv,train
250228.csv,train
235412.csv,train
229206.csv,train
222716.csv,train
169421.csv,train
230469.csv,train
223404.csv,train
206510.csv,train
